data,mid
2023-11-08,0.1159
2023-11-09,0.1152
2023-11-10,0.1148
2023-11-13,0.1147
2023-11-14,0.1134
2023-11-15,0.1115
2023-11-16,0.1114
2023-11-17,0.1116
2023-11-20,0.1107
2023-11-21,0.1106
2023-11-22,0.1114
2023-11-23,0.1109
2023-11-24,0.1113
2023-11-27,0.1096
2023-11-28,0.1093
2023-11-29,0.1085
2023-11-30,0.1095
2023-12-01,0.1095
2023-12-04,0.1091
2023-12-05,0.1088
2023-12-06,0.1095
2023-12-07,0.1096
2023-12-08,0.1093
2023-12-11,0.1092
2023-12-12,0.1087
2023-12-13,0.1084
2023-12-14,0.1068
2023-12-15,0.1063
2023-12-18,0.1065
2023-12-19,0.1061
